id,company_id/id,name,active,color,job_id/id,job_title,work_phone,mobile_phone,work_email,work_contact_id/id,private_street,private_city,private_zip,private_country_id/id,private_phone,private_email,lang,country_id/id,gender,marital,spouse_complete_name,spouse_birthdate,children,place_of_birth,birthday,identification_id,certificate,study_field,study_school,emergency_contact,emergency_phone,km_home_work,employee_type,barcode,pin,departure_description,contract_warning,first_contract_date,hourly_cost,x_studio_ot_month,employee_token,registration_number,timesheet_manager_id/id,x_studio_ot_rate,x_studio_employee_rate,billable_time_target
hr_employee_abc,base.main_company,ABC,1,0,,,0112 687 916,,abc@abc.com,Jinasena_MasterData_Common.res_partner_abc,,,,,,,,,,single,,,0,,,,other,,,,,0,employee,,,,1,,0.0,0.0,f80e31d6-bdfc-4fe0-b6a3-c80a0773e8a3,,,0.0,0.0,0.0
hr_employee_chandika_rathnayake,base.main_company,Chandika Rathnayake,1,0,Jinasena_MasterData_HR.hr_job_functional_consultant_10,Functional Consultant,0112 687 916,1111111111,chandika.r@jinasena.com.lk,seed_master_data_and_settings.partner_473,"186, Level 5, Elvitigala Mawatha,, Colombo, LK",Colombo8,08000,base.lk,0740600217,chandika.r@jinasena.com.lk,en_US,,,single,,,0,,,,other,,,,,0,employee,,,<p><br></p>,,2025-01-01,0.0,0.0,07c4715f-e7f1-466d-8dfe-1214ef74db90,,base.user_admin,0.0,0.0,0.0
hr_employee_default_user_template,base.main_company,Default User Template,1,0,,,0112 687 916,,,base.default_user_res_partner,,,,,,,,,,single,,,0,,,,other,,,,,0,employee,,,,1,,0.0,0.0,bf1f63a9-0274-4b2a-9c57-bb663727e309,,,0.0,0.0,0.0
hr_employee_dilshan_prasanga,base.main_company,Dilshan Prasanga,1,0,,,0112 687 916,,dilshan.p@jinasena.com.lk,,,,,,,,,,,single,,,0,,,,other,,,,,0,employee,,,<p><br></p>,1,,0.0,0.0,798bfce5-11f9-40cd-bff0-df2044a3d6c6,,,0.0,0.0,0.0
hr_employee_dilum_hewagamage,base.main_company,Dilum Hewagamage,1,0,,,0112 687 916,,dilum.h@jinasena.com.lk,,,,,,,,,,,single,,,0,,,,other,,,,,0,employee,,,<p><br></p>,1,,0.0,0.0,27cfd669-86c9-4f22-90ea-03e1c88a061e,,,0.0,0.0,0.0
hr_employee_ekala,base.main_company,EKALA,1,0,,,0112 687 916,,,,,,,,,,,,,single,,,0,,,,other,,,,,0,employee,,,<p><br></p>,1,,0.0,0.0,74d99eeb-352f-48ae-b627-5e044dad9884,,,0.0,0.0,0.0
hr_employee_ekala1,base.main_company,EKALA1,1,0,,,0112 687 916,,ekala1@jinasena.com.lk,,,,,,,,,,,single,,,0,,,,other,,,,,0,employee,,,,1,,0.0,0.0,e2b28f6f-27c6-4924-bf80-4efe9e848eb4,,,0.0,0.0,0.0
hr_employee_harischandra_perera,base.main_company,Harischandra Perera,1,0,,,0112 687 916,,,,,,,,,,,,,single,,,0,,,,other,,,,,0,employee,,,,1,,0.0,0.0,737706d4-ab66-4472-9343-7cf2bf2f0cd0,,,0.0,0.0,0.0
hr_employee_hrtest,base.main_company,Hrtest,1,0,,,0112 687 916,,hrtest@jinasena.com.lk,,,,,,,,,,,single,,,0,,,,other,,,,,0,employee,,,,1,,0.0,0.0,a44fc850-1dfe-4c9c-b3c1-b833db2d6777,,,0.0,0.0,0.0
hr_employee_janitha_ranasinghe,base.main_company,Janitha Ranasinghe,1,0,,Software Engineer,0112 687 916,+94777535357,janitharc@gmail.com,Jinasena_MasterData_Common.res_partner_janitha_chamath_ranasinghe,,,,,,,,,,single,,,0,,,,other,,,,,0,employee,,,<p><br></p>,1,2022-07-20,1500.0,0.0,75800571-c3aa-4864-b467-cb263cf44930,,base.user_admin,0.0,0.0,0.0
hr_employee_john_doe,base.main_company,John Doe,1,0,Jinasena_MasterData_HR.hr_job_functional_consultant_10,Functional Consultant,0112 687 916,,rohana.b@jinasena.com.lk,base.main_partner,,,,,,,,,,single,,,0,,,,other,,,,,0,employee,,,<p><br></p>,1,,0.0,0.0,63af001b-d1ca-4428-8098-7252191c2b7c,,base.user_admin,0.0,0.0,0.0
hr_employee_john_doe_38,base.main_company,John Doe,1,0,Jinasena_MasterData_HR.hr_job_functional_consultant_10,Functional Consultant,0112 687 916,,rohana.b@jinasena.com.lk,base.main_partner,,,,,,,,,,single,,,0,,,,other,,,,,0,employee,,,<p><br></p>,,2024-06-17,0.0,0.0,4d53dd7a-7cef-49f8-89ae-d6d633915f36,1234,base.user_admin,450.0,550.0,0.0
hr_employee_john_doe_39,base.main_company,John Doe,1,0,Jinasena_MasterData_HR.hr_job_functional_consultant_10,Functional Consultant,0112 687 916,,rohana.b@jinasena.com.lk,base.main_partner,,,,,,,,,male,single,,,0,,,,other,,,,,0,employee,,,<p><br></p>,,2024-06-20,0.0,0.0,d267ed1f-5fa1-47da-97a4-7e2072394097,,base.user_admin,2000.0,0.0,0.0
hr_employee_m_lahiru_madhushanka,base.main_company,M.Lahiru Madhushanka,1,0,Jinasena_MasterData_HR.hr_job_communication_executive,Communication Executive,0112 687 916,0740600184,lahiru.p@jinasena.com.lk,,,,,,,,,,male,married,Anuradha Rajapaksha,1994-04-06,1,Colombo,1993-01-14,199301402913,bachelor,Multimedia,Bomiriya Central College,,,15,employee,1101480,,,1,,0.0,0.0,b570ce29-47da-47c3-a298-fc8e779a52e4,,,0.0,0.0,0.0
hr_employee_milinda,base.main_company,Milinda,1,0,,,0112 687 916,,,,,,,,,,,,,single,,,0,,,,other,,,,,0,employee,,,<p><br></p>,1,,0.0,0.0,ad8e212a-6c1e-4517-b1de-79b8aa6b2dd9,,,0.0,0.0,0.0
hr_employee_nissanka,base.main_company,Nissanka,1,0,,Manager,0112 687 916,0740600225,,,,,,,,,,,,married,,,0,,,,other,,,,,0,employee,,,<p><br></p>,,2023-09-04,0.0,0.0,8367b231-b68b-488b-93d2-4864271cfaa6,,,1.5,0.0,0.0
hr_employee_no_contract_emp_e2e_1774858544719_388,base.main_company,No Contract Emp [E2E-1774858544719-388],1,0,,,0112 687 916,,,Jinasena_MasterData_Common.res_partner_no_contract_emp_e2e_1774858544719_388,,,,,,,,,,single,,,0,,,,other,,,,,0,employee,NC-E2E-1774858544719-388,,,1,,0.0,0.0,aab79307-5013-4c44-9600-bea2320ed637,,,248.7,193.19,0.0
hr_employee_no_contract_emp_e2e_1774859271812_944,base.main_company,No Contract Emp [E2E-1774859271812-944],1,0,,,0112 687 916,,,Jinasena_MasterData_Common.res_partner_no_contract_emp_e2e_1774859271812_944,,,,,,,,,,single,,,0,,,,other,,,,,0,employee,NC-E2E-1774859271812-944,,,1,,0.0,0.0,ac58a564-94f6-44fc-a92a-681602e71f72,,,123.37,123.75,0.0
hr_employee_nuwan_champika,base.main_company,Nuwan Champika,1,0,,,0112 687 916,,nuwan.c@jinasena.com.lk,,,,,,,,,,,single,,,0,,,,other,,,,,0,employee,,,,1,,0.0,0.0,7fa533b5-5282-4152-bbd4-d5fecabb9af0,,,0.0,0.0,0.0
hr_employee_nuwan_champika_24,base.main_company,Nuwan Champika,1,0,,,0112 687 916,,imports@jinasena.com.lk,,,,,,,,,,,single,,,0,,,,other,,,,,0,employee,,,,1,,0.0,0.0,5f77b59d-a5e0-4746-a63d-974df19f8cbe,,,0.0,0.0,0.0
hr_employee_sisira_jayakody,base.main_company,Sisira Jayakody,1,0,Jinasena_MasterData_HR.hr_job_head_of_human_resourse,Head Of Human Resourse,0112 687 916,0740600380,sisira.j@jinasena.com.lk,,,,,,,,,,,single,,,0,,,,other,,,,,0,employee,,,,1,,0.0,0.0,acf597b3-10b8-4476-86d8-02735b7d6366,,,0.0,0.0,0.0
